Gazpacho Andaluz,3,olivolja,1,dl
Gazpacho Andaluz,3,vitlöksklyfta,1,st
Gazpacho Extremadura,1,bröd,20,gr
Gazpacho Extremadura,2,grön paprika,200,gr
Gazpacho Extremadura,2,gul lök,100,gr
Gazpacho Extremadura,2,gurka,100,gr
Gazpacho Extremadura,2,tomat,600,gr
Gazpacho Extremadura,2,vitlöksklyfta,1,st
Gazpacho Extremadura,4,citronsaft,1,msk
Gazpacho Extremadura,4,hela kumminfrön,10,st
Gazpacho Extremadura,4,olivolja,6,cl
Gazpacho Extremadura,4,rödvinsvinäger,4,cl
Gazpacho Extremadura,4,salt,2,tsk
Gazpacho Extremadura,4,tabasco,4,dropp
Gazpacho Extremadura,4,vitpeppar,1,krm
Gazpacho Extremadura,4,vitt vin,6,cl
Gazpacho Extremadura,7,grön paprika,0,
Gazpacho Extremadura,7,gul lök,0,
Gazpacho Extremadura,7,gurka,0,
Gazpacho Extremadura,7,röd paprika,0,
Gazpacho Extremadura,7,tomat,0,
Gazpacho Extremadura,7,vitt bröd,0,
Gertruds kaka,2,socker,2,dl
Gertruds kaka,2,ägg,4,st
Gertruds kaka,3,apelsin,1,st
Gertruds kaka,4,mandel,100,g
Gertruds kaka,4,ströbröd,1,dl
Gertruds kaka,5,grädde,1,dl
Gertruds kaka,5,smör,125,g
Gertruds kaka,9,blockchoklad,50,g
Glögg,2,ingefära,1,bit
Glögg,2,jäst,50,g
Glögg,2,kardemummakärnor,1,påse
Glögg,2,nejlikor,1,kkp
Glögg,2,potatis,5,st
Glögg,2,russin,500,g
Glögg,2,strösocker,2,kg
Glögg,2,svagdricka,5,l
Gratinerad kyckling,10,salt,1,krm
Gratinerad kyckling,11,morot,1,st
Gratinerad kyckling,12,brysselkål,6,st
Gratinerad kyckling,14,bandspagetti,6,dl
Gratinerad kyckling,15,kryddkrasse,0,
Gratinerad kyckling,15,tomat,1,st
Gratinerad kyckling,2,kycklingbröst,250,g
Gratinerad kyckling,3,margarin,2,msk
Gratinerad kyckling,4,mexikansk krydda,1,krm
Gratinerad kyckling,4,salt,1,tsk
Gratinerad kyckling,4,svartpeppar,1,krm
Gratinerad kyckling,5,rökt skinka,100,g
Gratinerad kyckling,6,ost,50,g
Gratinerad kyckling,8,kycklingbuljong,1,dl
Gravad strömming,1,strömming,1,kg
Gravad strömming,2,salt,1,msk
Gravad strömming,2,vatten,5,dl
Gravad strömming,2,ättiksprit,1,dl
Gravad strömming,7,salt,2,tsk
Gravad strömming,7,socker,3,msk
Gravad strömming,7,svartpeppar,2,krm
Gravad strömming,7,svensk senap,1,dl
Gravad strömming,7,vinäger,1,msk
Gravad strömming,8,dill,1,dl
Gravad strömming,8,olja,1,dl
Gravad strömming,8,vatten,1,dl
Gravlaxröra,1,gravad lax,200,gr
Gravlaxröra,1,purjolök,2,dl
Gravlaxröra,1,ägg,4,st
Gravlaxröra,2,crème fraiche,3,msk
Gravlaxröra,2,dill,1,dl
Gravlaxröra,2,grädde,1.5,dl
Gravlaxröra,2,osötad senap,2,msk
Gräddbakelse,2,smördegsskivor,125,g
Gräddbakelse,7,grädde,2,dl
Gräddbakelse,9,florsocker,1,msk
Gräddbakelse,9,strössel,2,msk
Gräddbakelse,9,ägg,1,st
Grönsaksgratäng,1,morot,3,st
Grönsaksgratäng,11,matfett,1,msk
Grönsaksgratäng,12,frysta ärtor,125,g
Grönsaksgratäng,2,salt,1,krm
Grönsaksgratäng,2,vatten,2,dl
Grönsaksgratäng,3,gul lök,2,st
Grönsaksgratäng,3,matfett,1,msk
Grönsaksgratäng,4,matfett,3,msk
Grönsaksgratäng,5,vetemjöl,0.800000011920929,dl
Grönsaksgratäng,6,mjölk,4,dl
Grönsaksgratäng,8,ägg,3,st
Grönsaksgratäng,9,salt,0,
Grönsaksgratäng,9,vitpeppar,0,
Gubbröra,1,ansjovisfiléer,125,g
Gubbröra,1,rödlök,1,st
Gubbröra,1,rökt kaviar,1,msk
Gubbröra,1,sardiner,100,g
Gubbröra,1,ägg,3,st
Gubbröra,2,peppar,1,krm
Guldbakelser,1,smör,100,g
Guldbakelser,1,vetemjöl,1,dl
Guldbakelser,10,florsocker,1,msk
Guldbakelser,10,hjortron,250,g
Guldbakelser,12,citronmelissblad,1,knippe
Guldbakelser,12,vispgrädde,1,dl
Guldbakelser,2,vatten,1.5,msk
Guldbakelser,4,mandelmassa,100,g
Guldbakelser,5,smör,75,g
Guldbakelser,6,bakpulver,0.5,tsk
Guldbakelser,6,socker,2,msk
Guldbakelser,6,vaniljsocker,0.5,tsk
Guldbakelser,6,vetemjöl,1,dl
Guldbakelser,8,hjortron,250,g
Guldbakelser,8,kesella,2.5,dl
Guldbakelser,8,ägg,1,st
Haitigryta,1,griskött,400,g
Haitigryta,2,gul lök,2,st
Haitigryta,3,vitlöksklyfta,1,st
Haitigryta,4,ananas,200,g
Haitigryta,5,oxbuljong,2,dl
Haitigryta,5,soja,1,msk
Haitigryta,5,vinäger,3,msk
Haitigryta,6,mald ingefära,1,tsk
Haitigryta,6,salt,1,tsk
Haitigryta,6,svartpeppar,1,krm
Haitigryta,6,tomatpuré,1,msk
Haitigryta,9,paprika,2,st
Helstekt kyckling i ugn,1,kålrot,300,g
Helstekt kyckling i ugn,1,majrova,300,g
Helstekt kyckling i ugn,1,morötter,2,st
Helstekt kyckling i ugn,1,rödlökar,2,st
Helstekt kyckling i ugn,2,honung,0.5,dl
